name	balance	scorumpower	posting_rewards_sp	curation_rewards_sp	post_count	comment_count	
dzv	387.227999999 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
e5sr3str	20000.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
easycloud	6569.704833330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ebin	3.695754342 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ebuzar	87.755505860 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eclipse	2266.666666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eddiecz	37.029584924 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
edinco1980	904.198536329 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
edmondandy	49.954608000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
edu68	1761.946666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
edvynas	733.911111113 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
efirovich	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
eiro07	1348.408320000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eisa233	57.581821334 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elbruno	347.133198833 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eldoog195207	1145.685150169 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elenapan	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
elf	237.047940000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elgranextractor	337.203333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elhabar	135.375000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elichaii12	326.100000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elie93	271.398521768 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elisklar	123.940000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elkenok	86.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elmato	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elmehdimeshoul94	65.463694090 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
elwen18	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
emamora53	67.251100000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
emanuele79	161.529499996 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
emenioui	247.863090862 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
enahluv95	15.221464533 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
enakor	1338.780608000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
encel	58.402817623 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
enricoxxx	229.084444440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
enriquearnau212	110.584526330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
enryfrau86	32.449600000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
enson123	8993.333333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
envy260512	121.518700000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eosigi791019	936.810970910 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
epc2303	41.271696270 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
epicmind103	149.446638820 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
epicsummerwest	554.205595560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
epikcoin	51.156000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
erankis	131.429000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eraserheads	61.526764278 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
erbasimone	1017.148373610 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ercencepherm	124.230193880 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eremus	71.200000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eric	3378.640000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
erica	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
erictanjj	3292.533333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ericzoo	6038.666666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ermaklis777	157.666666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ernestoh2315	788.980000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
errym86	56.335000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ervin5611	119.432201330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
esamqugandi	354.196333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
esaron	1766.887895160 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
esegar	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
esport1973	140.619000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
estonianlongdong	187.148926000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eugendosch	100000.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eugenelandin	130.494000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eugeneslon	193.233333333 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
evertonmx	830.328220580 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
evol	529.992000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
evsandrey	235.095555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ewgenius	1759.946666666 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
excaptsagar	1832.504334970 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
exodus	21.853075470 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ezazparacha	149.610825960 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
eziztach55	1618.866666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
f0cuswn	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
f5k387aauln4	600.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
faabler1111	989.279767660 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fab9	180.791578330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fabiandg1010	259.384172440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fabio21	13.085176000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fabio71	246.017958531 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fabiolupin	241.111111111 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fabiomarino1976	279.546069440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fahero	1238.046486400 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fairplay1206	274.807696530 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
faisal230	153.962146000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
faisal360	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fantasycouch	486.182558656 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
faruk40	76.043075676 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fatualexander	126.881442880 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fauleta	622.274290930 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fav	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
favour1	36.888888890 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
favour1995	28.675153200 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fctextura	64.463895700 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fdago64	265.942886108 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fdmilionaires	226.597777780 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fearghaloreilly	9.447555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fedefree0173	502.041555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fednan	342.044444440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
feerglas	694.263111110 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
femmail	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
feztival1	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fgh	854.323781394 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fianyo29	133.020800000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fidders	1093.333333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fiesta070	294.460000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
finnyfal	34.495666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
finskels	654.331596764 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fip	2104.575147165 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
firedreft	220.697400000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
firekey	126.585419200 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
firmgate	145.275777910 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fixtion	10085.169480400 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fka1122	2002.740000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fla6bang	409.853333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
flashwz0	502.826000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
flojo	1770.577600000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fly747	11400.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
fmeireles22	605.791339733 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fnemoto	986.382466666 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fokakmeny	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
follino03	992.766666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fomblardo	1180.524731244 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
forhonor	1306.537704507 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
foster	233.541423070 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fourstone	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fran1985	31.761472200 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
francam80	1005.555555555 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
franchisescorum	616.155382670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
francoismartin86	518.696000002 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
francoisw	155.796934400 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
frankbot	109.690973750 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
franky	1328.866666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
franky74	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fred3233	278.190237830 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
free28ho	10142.011111110 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
freeaccess	104.066666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
freecoincy	231.784182846 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
freedomjoy99	130.042887200 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
freedomnsk68	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fsmsantos5	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fuadlexus383	190.208300330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fuatdeniz	382.662605986 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fuegochino	80.705737190 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fulvioegianna	12.719580000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
funkytd	7.638956330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
furrywall	7.679351630 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fuscoluca	1229.316000004 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
futswagger	125.705409440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
fxspoke	128.108033889 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
g1nkop	137.114796060 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
g741199cayce	4902.765027730 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gaasiamah	217.561548195 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gabriele1981	532.216666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gabrielsw	18.985472479 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gabrystent96	10.511233330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gaetanoag	134.607175000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gamevox	274.444444440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
garido83	690.360907310 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
garlicking	106.061806733 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
garyd	120.006248040 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gate3500	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gaubibi	1397.791111120 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gavioli1965	516.700000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gaza50	110.921874780 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gazerrr	1787.100000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gazua15	9.622577778 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gazua845	192.451555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gcmelo	101.024674121 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gconcept	11.689445360 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gdinod1234	4442.200000003 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gearylaunder	496.947911110 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
geescorum123	212.627989160 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gegny	523.616666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
geki91	126.051444444 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gena20	120.500002530 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
generyeun3136	1422.764703520 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gengel83	303.250000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
genichi	1191.059777770 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
geniee7	78.192666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
genokadzin	444.640947024 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
georgek1981	1217.675199999 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gerardocode	831.655820931 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gerbildude	535.712702160 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gersonfoks	114.777777780 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gesimo	11.555555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gezsa25	2157.060076271 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ggoboo	291.666666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ggravina85	481.849615140 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ghlans	2307.692444440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ghostface3	12.577788889 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ghostman1234	168.869944150 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gialas82	418.400000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
giangtph	215.553333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gianlu9090	117.288144660 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gibran70	758.639533330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gicon7	31.787000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gielro	1799.986666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gifty101	202.898623000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gigi1968	1123.793905104 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gilbd555	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gingerlove	223.927698650 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
giorgiopalomba	368.137988879 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
giovannigulotta1	119.800000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
give4444	127.618753591 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gkpz	1091.233333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
glebor	50.153389800 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
glomerulus22	270.666666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gmaesman	368.959729670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gmax	229.233152000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gmtessar31	101.109108140 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gnawledge	17.041886597 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gnotgnot	4516.971914310 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
godday32	733.839211190 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
goga79	347.061111114 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gohandoko	99.329197500 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gold	476.303155900 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
golden8899	107.846831000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
goldensky14	446.338776933 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
goldfishking	108.458785900 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
golumb1980	61.185740950 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gomyz	593.617270640 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gonlgonl	261.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gopalmadala	1348.949961280 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gorhkdzzang	844.090000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
goska2g	1323.291136990 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gostman	65.428000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
goton	113.968334090 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
goulamouk	110.370000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
goyenator	525.023936000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
grant600t	102.133333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
greatwhite1	111.491093220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
green	0.000000000 SCR	24005.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
greenca2	110.104086700 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
greenology	89.574727220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gregorymcn	231.778466670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gregrebelo	88.724948667 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
grubber1	141.972266668 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
grunvald600	30000.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
guarneri	927.013512330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
guccaly	114.337927778 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gudwls61108	2263.113333332 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
guido123456789	552.079097773 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
guilmon	227.108888890 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gurzuff777	348.002666667 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gusdn0805	2578.616293560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gustomaina	198.950000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
gyjoon82	8017.004613220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
h0rn3t	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
habibdrag701	31.925000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
habibi788	256.666666668 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
habsn4981	1240.303660938 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
haemni	1110.977777780 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
haiduk13haiduk13	3604.198266582 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hailucy91	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hairymamba	60.525666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hajaramami1977	361.074700000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hakantr22	90.359947469 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
halimagrema01	151.730855000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
halloman1	999.922222220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hamburgerbas	220.222222220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hamedo007	671.003633340 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hamib	156.685200000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hamlaoui2018	44.046000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hammer1738	101.271690000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hammer22	736.105555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hamzabasharat3	209.397066666 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
handori	1482.355555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hanjamie	938.790600000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hanoojr	190.678343450 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hanoosh	255.311111110 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hans	1482.211111110 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hansan22	1218.990000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hanstorp	240.478680252 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hany458576	273.831783867 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hany600	270.975000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
haphongdiep	681.600600000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
harasaki	2295.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hardkiev92	285.151872500 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hardwareanon7	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hareem2134	356.098994447 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
harrigan	8872.313524000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
harris	0.000000000 SCR	276005.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
harry9	171.967200000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
harryharry18	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
harrypoter	2639.919999999 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
harryzhang	1659.664666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hasan34	107.244960400 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hasnain828	519.216518681 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hassanm1982	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hassncoin	137.777550000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
hayannn1	68.798080000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
